[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (933) open OpenCV | GStreamer warning: Cannot query video position: status=0, value=-1, duration=-1
[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (1184) setProperty OpenCV | GStreamer warning: GStreamer: unhandled property
Gtk-Message: 21:22:14.165: Failed to load module "canberra-gtk-module"
vision_progress frame=3150 capture_ms=16.801 gpu_ms=10.160 post_ms=0.619 total_ms=36.265 fps_avg=32.985 det=0
vision_progress frame=3180 capture_ms=16.119 gpu_ms=10.071 post_ms=0.591 total_ms=35.557 fps_avg=32.907 det=0
vision_progress frame=3210 capture_ms=11.496 gpu_ms=10.383 post_ms=0.592 total_ms=31.788 fps_avg=33.170 det=0
vision_progress frame=3240 capture_ms=12.002 gpu_ms=10.138 post_ms=0.582 total_ms=31.799 fps_avg=32.936 det=0
vision_progress frame=3270 capture_ms=12.498 gpu_ms=10.419 post_ms=0.639 total_ms=32.660 fps_avg=32.941 det=0
vision_progress frame=3300 capture_ms=16.118 gpu_ms=10.131 post_ms=0.592 total_ms=35.640 fps_avg=32.843 det=0
vision_progress frame=3330 capture_ms=20.104 gpu_ms=10.141 post_ms=0.593 total_ms=39.711 fps_avg=31.359 det=0
vision_progress frame=3360 capture_ms=20.513 gpu_ms=10.158 post_ms=0.587 total_ms=40.156 fps_avg=27.036 det=0
vision_progress frame=3390 capture_ms=13.255 gpu_ms=10.252 post_ms=0.648 total_ms=33.051 fps_avg=28.664 det=0
vision_progress frame=3420 capture_ms=12.452 gpu_ms=10.100 post_ms=0.577 total_ms=31.943 fps_avg=33.060 det=0
vision_progress frame=3450 capture_ms=15.936 gpu_ms=10.146 post_ms=0.581 total_ms=35.423 fps_avg=32.834 det=0
vision_progress frame=3480 capture_ms=13.200 gpu_ms=10.118 post_ms=0.741 total_ms=33.041 fps_avg=33.143 det=0
vision_progress frame=3510 capture_ms=12.551 gpu_ms=10.150 post_ms=0.645 total_ms=32.061 fps_avg=32.842 det=0
vision_progress frame=3540 capture_ms=15.106 gpu_ms=10.141 post_ms=1.689 total_ms=35.583 fps_avg=32.948 det=1
vision_progress frame=3570 capture_ms=16.198 gpu_ms=10.381 post_ms=0.594 total_ms=35.814 fps_avg=32.900 det=0
